TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE,AVG BIKE USAGE
2018-09-30,62095615,39174781,22046641,76977.0,1261.9180327868853
2018-12-31,96165311,61938884,33577930,107364.0,1167.0
2019-03-31,93309039,60554081,32117819,104935.0,1165.9444444444443
2019-06-30,75154084,48076536,26518138,87143.0,1193.7397260273972
2019-09-30,94345608,58849900,34128454,115345.0,1253.75
2019-12-31,79675587,49280609,28891776,93654.0,1114.9285714285713
2020-03-31,70696141,44907399,25604473,73548.0,980.64
2020-06-30,92648880,62809696,29718055,47976.0,527.2087912087912
2020-09-30,93682560,60057757,33503423,63248.0,687.4782608695652
2020-12-31,93616840,58250133,35116612,54930.0,597.0652173913044
2021-03-31,87779281,58521391,29045192,82386.0,915.4
2021-06-30,91616000,57432654,33790676,61898.0,680.1978021978022
2021-09-30,90631512,56266802,34154817,75758.0,823.4565217391304
2021-12-31,87562592,53248882,33965658,75384.0,847.0112359550562
