TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE
2018-08-01,485070,308451,168916,817.0
2018-08-02,1012320,643811,351483,1567.0
2018-08-03,1012320,636756,359143,1330.0
2018-08-04,1012320,625222,372136,849.0
2018-08-05,1012320,625181,371937,783.0
2018-08-06,1012320,622414,374145,738.0
2018-08-07,1012320,644970,350789,1296.0
2018-08-08,1012320,644611,350717,1439.0
2018-08-09,1012320,642555,352920,1567.0
2018-08-10,1012320,641539,354884,1498.0
2018-08-11,1012320,624146,372975,809.0
2018-08-12,1012320,620572,376951,772.0
2018-08-13,1012320,645074,350951,1638.0
2018-08-14,1012320,645036,351451,1567.0
2018-08-15,1012320,637444,359024,1477.0
2018-08-16,1012320,639527,356847,1498.0
2018-08-17,1012320,628327,368279,1373.0
2018-08-18,1012320,621561,375320,887.0
2018-08-19,1012320,616605,380427,748.0
2018-08-20,1016920,639874,359361,1382.0
2018-08-21,1030200,661196,352211,1651.0
2018-08-22,1017385,654275,347405,1577.0
2018-08-23,1035360,659480,360120,1546.0
2018-08-24,1035360,653070,362234,1437.0
2018-08-25,1035360,639829,375822,679.0
2018-08-26,1035360,640948,379354,807.0
2018-08-27,1035360,660013,358959,1537.0
2018-08-28,1035360,659618,359733,1559.0
2018-08-29,1035360,660362,358730,1473.0
2018-08-30,1035360,664104,355192,1436.0
2018-08-31,995815,638261,343166,1420.0
2018-09-01,1020980,635938,369653,861.0
2018-09-02,1003005,624628,364130,692.0
2018-09-03,1006600,643377,346721,1447.0
2018-09-04,1017385,657522,343652,1624.0
2018-09-05,999115,642803,340862,1644.0
2018-09-06,1018625,644978,358144,1488.0
2018-09-07,1044000,660970,367359,1415.0
2018-09-08,1044000,641709,387623,759.0
2018-09-09,1044000,644890,383832,924.0
2018-09-10,1044000,664666,363641,1428.0
2018-09-11,1044000,668806,359772,1585.0
2018-09-12,1044000,668104,359637,1701.0
2018-09-13,1044000,666774,361583,1584.0
2018-09-14,1044000,656379,372204,1287.0
