TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE
2018-08-31,31,31,31,31
2018-09-30,30,30,30,30
2018-10-31,31,31,31,31
2018-11-30,30,30,30,30
2018-12-31,31,31,31,31
2019-01-31,31,31,31,31
2019-02-28,28,28,28,28
2019-03-31,31,31,31,31
2019-04-30,30,30,30,30
2019-05-31,31,31,31,31
2019-06-30,12,12,12,12
2019-07-31,31,31,31,31
2019-08-31,31,31,31,31
2019-09-30,30,30,30,30
2019-10-31,31,31,31,31
2019-11-30,30,30,30,30
2019-12-31,23,23,23,23
2020-01-31,15,15,15,15
2020-02-29,29,29,29,29
2020-03-31,31,31,31,31
2020-04-30,30,30,30,30
2020-05-31,31,31,31,31
2020-06-30,30,30,30,30
2020-07-31,31,31,31,31
2020-08-31,31,31,31,31
2020-09-30,30,30,30,30
2020-10-31,31,31,31,31
2020-11-30,30,30,30,30
2020-12-31,31,31,31,31
2021-01-31,28,28,28,28
2021-02-28,28,28,28,28
2021-03-31,31,31,31,31
2021-04-30,30,30,30,30
2021-05-31,31,31,31,31
2021-06-30,30,30,30,30
2021-07-31,31,31,31,31
2021-08-31,31,31,31,31
2021-09-30,30,30,30,30
2021-10-31,31,31,31,31
2021-11-30,27,27,27,27
2021-12-31,31,31,31,31
