TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE,AVG BIKE USAGE
2018-08-31,31050030,19544832,11011582,39157.0,1263.1290322580646
2018-09-30,31045585,19629949,11035059,37820.0,1260.6666666666667
2018-10-31,32519939,20934480,11245437,40470.0,1305.483870967742
2018-11-30,31029768,20119622,10769059,36161.0,1205.3666666666666
2018-12-31,32615604,20884782,11563434,30733.0,991.3870967741935
2019-01-31,32551678,20993997,11379184,36622.0,1181.3548387096773
2019-02-28,29205003,19026186,9954534,33735.0,1204.8214285714287
2019-03-31,31552358,20533898,10784101,34578.0,1115.4193548387098
2019-04-30,31169512,20381883,10748478,36188.0,1206.2666666666667
2019-05-31,32205008,20429383,11489215,38650.0,1246.774193548387
2019-06-30,11779564,7265270,4280445,12305.0,1025.4166666666667
2019-07-31,31928128,20019448,11468716,41025.0,1323.3870967741937
2019-08-31,31783680,20061909,11366476,37108.0,1197.032258064516
2019-09-30,30633800,18768543,11293262,37212.0,1240.4
2019-10-31,31765880,19731798,11527685,37094.0,1196.5806451612902
2019-11-30,30138351,18421497,11004971,33139.0,1104.6333333333334
2019-12-31,17771356,11127314,6359120,23421.0,1018.304347826087
2020-01-31,10295581,6632516,3642310,16984.0,1132.2666666666667
2020-02-29,29337060,18776765,10475126,31988.0,1103.0344827586207
2020-03-31,31063500,19498118,11487037,24576.0,792.7741935483871
2020-04-30,30585600,21046251,9496771,12076.0,402.53333333333336
2020-05-31,31605120,21754953,9811019,17425.0,562.0967741935484
2020-06-30,30458160,20008492,10410265,18475.0,615.8333333333334
2020-07-31,31605120,20828680,10735046,20698.0,667.6774193548387
2020-08-31,31576800,20046656,11488557,20745.0,669.1935483870968
2020-09-30,30500640,19182421,11279820,21805.0,726.8333333333334
2020-10-31,31605120,19783686,11782933,20117.0,648.9354838709677
2020-11-30,30585600,18986245,11526514,17605.0,586.8333333333334
2020-12-31,31426120,19480202,11807165,17208.0,555.0967741935484
2021-01-31,30632122,20869636,9729013,20200.0,651.6129032258065
2021-02-28,26484056,17066780,9333851,37626.0,1343.7857142857142
2021-03-31,30663103,20584975,9982328,24560.0,792.258064516129
2021-04-30,30208500,19442943,10679535,19339.0,644.6333333333333
2021-05-31,31213000,19306178,11831588,20198.0,651.5483870967741
2021-06-30,30194500,18683533,11279553,22361.0,745.3666666666667
2021-07-31,29597811,18356887,11186730,24549.0,791.9032258064516
2021-08-31,31229820,19428249,11721047,23723.0,765.258064516129
2021-09-30,29803881,18481666,11247040,27486.0,916.2
2021-10-31,30803659,19003111,11719314,30695.0,990.1612903225806
2021-11-30,25324643,15370995,9900637,24433.0,904.925925925926
2021-12-31,31434290,18874776,12345707,20256.0,653.4193548387096
2022-01-31,1015488,609169,405550,403.0,403.0
