horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,107323.22656840368,327.60223834461766,187.11312775502094,0.250743718678105,0.1258718804475438,0.2084466263281885,0.8689655172413793
4 days,75614.80149034642,274.98145662998155,153.15538197204415,0.2535496662272904,0.11692266448300734,0.18369244741833202,0.9
5 days,75240.75774358798,274.30048804839555,159.4186337534557,0.2651487731909642,0.11508135729584337,0.19884570245847344,0.9
6 days,79247.36097087649,281.5090779546487,165.78292696858642,0.2807459567036704,0.11065831832241961,0.21391915916759585,0.9
7 days,60752.926645425076,246.48108780477475,148.66643477076792,0.2428010727147123,0.08540364738664426,0.1952822151574063,0.9
8 days,110528.96734896049,332.45897092567753,181.55027793288755,0.24565955234635078,0.08540364738664426,0.2186651221529651,0.8655172413793104
9 days,103277.35256483051,321.36793954100415,177.26227578689765,0.23175199408229744,0.1024616954744235,0.20938301177641963,0.8620689655172413
10 days,99497.28201722425,315.43189758999364,178.1416831119505,0.22775491735124517,0.12062377314305765,0.21127692483360294,0.8620689655172413
11 days,36248.681746522794,190.39086571188963,132.07866547624965,0.19330438501720457,0.11234253398032816,0.16940247700075522,0.896551724137931
12 days,33932.79344667483,184.20855964551384,129.52134507599652,0.1835177067296904,0.12010067628883107,0.1730939658199834,0.8655172413793104
13 days,35692.07486538153,188.92346298271565,130.2537261470366,0.18908184393459748,0.11234253398032816,0.1855021744024625,0.8655172413793104
14 days,43342.90776283788,208.18959571226867,136.22090987639544,0.18070970739700082,0.12010067628883107,0.18745295512248117,0.8689655172413793
15 days,40675.25517099751,201.68107291215384,145.71066050561126,0.18810183943695655,0.1665161380069763,0.19716001230579905,0.9
16 days,35775.77141340056,189.14484241818639,145.38472428076415,0.18465699269281408,0.15545988612056252,0.19004102059883562,0.9344827586206897
17 days,20988.015253911806,144.87241025782586,124.73570185167232,0.17074085110724319,0.15316234772542037,0.17235699257050235,0.9689655172413794
18 days,279461.43785969145,528.641123882442,251.40436707670696,0.1904001183853487,0.11131132327534932,0.22351231122264245,0.896551724137931
19 days,283040.87728074467,532.0158618694979,249.35404810793415,0.18471796542092372,0.07685405253479687,0.22705519526680032,0.8620689655172413
20 days,284575.51370179636,533.4561966101775,251.0542078586454,0.18953544359390828,0.07685405253479687,0.23948526846945167,0.8620689655172413
21 days,26665.2212965122,163.29489060136635,115.65370331648779,0.15171077307995784,0.09435471921674722,0.17563769602249182,0.9310344827586207
22 days,52361.40247423221,228.826140277356,144.1286616367387,0.1667127690228116,0.1248392928701077,0.19161880403931097,0.9310344827586207
23 days,51735.76754941369,227.4549791704145,149.27092784699235,0.17672977267790915,0.14826500497783698,0.19096293936969114,0.9344827586206897
24 days,49258.12872433059,221.94172371217314,145.98522899695496,0.27782624350855384,0.15526307275857795,0.21038537022471424,0.9344827586206897
25 days,21151.045106953043,145.43398882982288,110.2300591263538,0.26773672885706506,0.11446609383019266,0.185103668392229,0.9655172413793104
26 days,21335.23966307953,146.0658743960393,106.07781743242273,0.2580465621857022,0.11127883443144936,0.18303633679893871,0.9689655172413794
27 days,16340.26879818541,127.82906085153489,92.41089877618147,0.1576199056624757,0.08439963142613684,0.1545023149670424,1.0
28 days,19466.752192561715,139.5233034032728,107.17299627280467,0.16485731205880677,0.10296923450987021,0.1677241297918534,1.0
29 days,22162.199393481136,148.8697396836615,117.7591194076597,0.187933364670973,0.10647123237285623,0.18426908356537341,0.9655172413793104
30 days,19719.07531146606,140.42462501807174,112.3506534976285,0.17848257360640243,0.11010505526623834,0.1675080011330457,0.9655172413793104
