TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE
2018-08-01 12:30:02,3515,2196,1264,0.0
2018-08-01 12:35:02,3515,2194,1266,0.0
2018-08-01 12:40:02,3515,2201,1259,7.0
2018-08-01 12:45:02,3515,2203,1257,2.0
2018-08-01 12:50:02,3515,2208,1252,5.0
2018-08-01 12:55:02,3515,2211,1249,3.0
2018-08-01 13:00:01,3515,2215,1245,4.0
2018-08-01 13:05:01,3515,2228,1232,13.0
2018-08-01 13:10:02,3515,2221,1239,0.0
2018-08-01 13:15:02,3515,2218,1242,0.0
2018-08-01 13:20:02,3515,2229,1231,11.0
2018-08-01 13:25:02,3515,2205,1255,0.0
2018-08-01 13:30:01,3515,2204,1256,0.0
2018-08-01 13:35:02,3515,2211,1249,7.0
2018-08-01 13:40:01,3515,2194,1266,0.0
2018-08-01 13:45:02,3515,2184,1276,0.0
2018-08-01 13:50:02,3515,2192,1268,8.0
2018-08-01 13:55:02,3515,2190,1270,0.0
2018-08-01 14:00:01,3515,2190,1268,2.0
2018-08-01 14:05:02,3515,2200,1259,9.0
2018-08-01 14:10:02,3515,2192,1267,0.0
2018-08-01 14:15:02,3515,2191,1269,0.0
2018-08-01 14:20:01,3515,2191,1269,-0.0
2018-08-01 14:25:02,3515,2187,1273,0.0
2018-08-01 14:30:02,3515,2175,1285,0.0
2018-08-01 14:35:01,3515,2180,1280,5.0
2018-08-01 14:40:02,3515,2187,1273,7.0
2018-08-01 14:45:02,3515,2184,1276,0.0
2018-08-01 14:50:02,3515,2181,1279,0.0
2018-08-01 14:55:01,3515,2193,1267,12.0
2018-08-01 15:00:02,3515,2202,1258,9.0
2018-08-01 15:05:02,3515,2239,1220,38.0
2018-08-01 15:10:02,3515,2285,1174,46.0
2018-08-01 15:15:03,3515,2279,1180,0.0
2018-08-01 15:20:02,3515,2269,1190,0.0
2018-08-01 15:25:02,3515,2279,1180,10.0
2018-08-01 15:30:02,3515,2273,1185,0.0
2018-08-01 15:35:02,3515,2293,1165,20.0
2018-08-01 15:40:02,3515,2330,1128,37.0
2018-08-01 15:45:02,3515,2306,1153,0.0
2018-08-01 15:50:01,3515,2311,1148,5.0
2018-08-01 15:55:03,3515,2319,1140,8.0
2018-08-01 16:00:02,3515,2350,1109,31.0
2018-08-01 16:05:03,3515,2395,1064,45.0
2018-08-01 16:10:03,3515,2465,994,70.0
2018-08-01 16:15:01,3515,2443,1016,0.0
2018-08-01 16:20:02,3515,2389,1070,0.0
2018-08-01 16:25:01,3515,2367,1092,0.0
2018-08-01 16:30:02,3515,2381,1078,14.0
2018-08-01 16:35:02,3515,2423,1035,43.0
2018-08-01 16:40:02,3515,2531,927,108.0
2018-08-01 16:45:03,3515,2553,903,24.0
2018-08-01 16:50:02,3515,2517,939,0.0
2018-08-01 16:55:03,3515,2474,983,0.0
2018-08-01 17:00:02,3515,2429,1029,0.0
2018-08-01 17:05:02,3515,2384,1074,0.0
2018-08-01 17:10:02,3515,2380,1078,0.0
2018-08-01 17:15:03,3515,2413,1045,33.0
2018-08-01 17:20:01,3515,2409,1049,0.0
2018-08-01 17:25:03,3515,2414,1043,6.0
2018-08-01 17:30:03,3515,2409,1048,0.0
2018-08-01 17:35:03,3515,2376,1081,0.0
2018-08-01 17:40:02,3515,2351,1106,0.0
2018-08-01 17:45:02,3515,2359,1098,8.0
2018-08-01 17:50:02,3515,2339,1118,0.0
2018-08-01 17:55:03,3515,2316,1141,0.0
2018-08-01 18:00:03,3515,2310,1147,0.0
2018-08-01 18:05:03,3515,2301,1156,0.0
2018-08-01 18:10:04,3515,2308,1149,7.0
2018-08-01 18:15:02,3515,2308,1149,-0.0
2018-08-01 18:20:02,3515,2294,1164,0.0
2018-08-01 18:25:02,3515,2280,1177,0.0
2018-08-01 18:30:03,3515,2288,1170,7.0
2018-08-01 18:35:01,3515,2282,1176,0.0
2018-08-01 18:40:04,3515,2288,1169,7.0
2018-08-01 18:45:03,3515,2247,1210,0.0
2018-08-01 18:50:02,3515,2227,1230,0.0
2018-08-01 18:55:02,3515,2220,1238,0.0
2018-08-01 19:00:03,3515,2224,1234,4.0
2018-08-01 19:05:01,3515,2201,1257,0.0
2018-08-01 19:10:02,3515,2204,1252,5.0
2018-08-01 19:15:03,3515,2196,1261,0.0
2018-08-01 19:20:03,3515,2203,1255,6.0
2018-08-01 19:25:03,3515,2196,1262,0.0
2018-08-01 19:30:03,3515,2196,1262,-0.0
2018-08-01 19:35:02,3515,2196,1262,-0.0
2018-08-01 19:40:04,3515,2199,1259,3.0
2018-08-01 19:45:02,3515,2188,1270,0.0
2018-08-01 19:50:03,3515,2198,1260,10.0
2018-08-01 19:55:02,3515,2192,1266,0.0
