TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE,AVG BIKE USAGE
2018-08-05,4534350,2839421,1623615,5346.0,1069.2
2018-08-12,7086240,4440807,2533381,8119.0,1159.857142857143
2018-08-19,7086240,4433574,2542299,9188.0,1312.5714285714287
2018-08-26,7205945,4548672,2536507,9079.0,1297.0
2018-09-02,7161240,4542924,2509563,8978.0,1282.5714285714287
2018-09-09,7173725,4536249,2528193,9301.0,1328.7142857142858
2018-09-16,7308000,4612876,2586054,9151.0,1307.2857142857142
2018-09-23,7246375,4544715,2596122,8520.0,1217.142857142857
2018-09-30,7293500,4675543,2590907,9295.0,1327.857142857143
2018-10-07,7318301,4699232,2590334,9431.0,1347.2857142857142
2018-10-14,7359156,4748669,2574608,9147.0,1306.7142857142858
2018-10-21,7366464,4830539,2492859,9505.0,1357.857142857143
2018-10-28,7366464,4667774,2514486,8898.0,1271.142857142857
2018-11-04,6876828,4423324,2391144,7444.0,1063.4285714285713
2018-11-11,7300692,4757341,2508785,8410.0,1201.4285714285713
2018-11-18,7337232,4799439,2499018,9079.0,1297.0
2018-11-25,7366464,4747279,2590228,8366.0,1195.142857142857
2018-12-02,7362810,4691976,2638796,7679.0,1097.0
2018-12-09,7366464,4741121,2597723,8307.0,1186.7142857142858
2018-12-16,7359156,4743443,2582560,8246.0,1178.0
2018-12-23,7366464,4767606,2568231,7966.0,1138.0
2018-12-30,7366464,4653677,2663266,4136.0,590.8571428571429
2019-01-06,7362810,4740676,2562381,6305.0,900.7142857142857
2019-01-13,7366464,4756496,2582051,8384.0,1197.7142857142858
2019-01-20,7366464,4758155,2581400,8673.0,1239.0
2019-01-27,7334596,4709207,2568539,8568.0,1224.0
2019-02-03,7303968,4680714,2578295,8040.0,1148.5714285714287
2019-02-10,7300345,4705053,2539674,8420.0,1202.857142857143
2019-02-17,7296722,4752818,2481783,8715.0,1245.0
2019-02-24,7303968,4809110,2435490,8208.0,1172.5714285714287
2019-03-03,7303968,4782291,2449919,8398.0,1199.7142857142858
2019-03-10,6604729,4342881,2229400,7547.0,1078.142857142857
2019-03-17,7277117,4710750,2462972,8115.0,1159.2857142857142
2019-03-24,7273728,4705794,2520297,7801.0,1114.4285714285713
